county_name,County Name Cleaned,state_ID,countyFIPS,State,county_correct_spelling
Statewide Unallocated,Statewide Unallocated,Statewide UnallocatedAL,0,AL,
Autauga County,Autauga,AutaugaAL,1001,AL,
Baldwin County,Baldwin,BaldwinAL,1003,AL,
Barbour County,Barbour,BarbourAL,1005,AL,
Bibb County,Bibb,BibbAL,1007,AL,
Blount County,Blount,BlountAL,1009,AL,
Bullock County,Bullock,BullockAL,1011,AL,
Butler County,Butler,ButlerAL,1013,AL,
Calhoun County,Calhoun,CalhounAL,1015,AL,
Chambers County,Chambers,ChambersAL,1017,AL,
Cherokee County,Cherokee,CherokeeAL,1019,AL,
Chilton County,Chilton,ChiltonAL,1021,AL,
Choctaw County,Choctaw,ChoctawAL,1023,AL,
Clarke County,Clarke,ClarkeAL,1025,AL,
Clay County,Clay,ClayAL,1027,AL,
Cleburne County,Cleburne,CleburneAL,1029,AL,
Coffee County,Coffee,CoffeeAL,1031,AL,
Colbert County,Colbert,ColbertAL,1033,AL,
Conecuh County,Conecuh,ConecuhAL,1035,AL,
Coosa County,Coosa,CoosaAL,1037,AL,
Covington County,Covington,CovingtonAL,1039,AL,
Crenshaw County,Crenshaw,CrenshawAL,1041,AL,
Cullman County,Cullman,CullmanAL,1043,AL,
Dale County,Dale,DaleAL,1045,AL,
Dallas County,Dallas,DallasAL,1047,AL,
DeKalb County,DeKalb,DeKalbAL,1049,AL,
Elmore County,Elmore,ElmoreAL,1051,AL,
Escambia County,Escambia,EscambiaAL,1053,AL,
Etowah County,Etowah,EtowahAL,1055,AL,
Fayette County,Fayette,FayetteAL,1057,AL,
Franklin County,Franklin,FranklinAL,1059,AL,
Geneva County,Geneva,GenevaAL,1061,AL,
Greene County,Greene,GreeneAL,1063,AL,
Hale County,Hale,HaleAL,1065,AL,
Henry County,Henry,HenryAL,1067,AL,
Houston County,Houston,HoustonAL,1069,AL,
Jackson County,Jackson,JacksonAL,1071,AL,
Jefferson County,Jefferson,JeffersonAL,1073,AL,
Lamar County,Lamar,LamarAL,1075,AL,
Lauderdale County,Lauderdale,LauderdaleAL,1077,AL,
Lawrence County,Lawrence,LawrenceAL,1079,AL,
Lee County,Lee,LeeAL,1081,AL,
Limestone County,Limestone,LimestoneAL,1083,AL,
