Date,Open,High,Low,Close,Adj Close,Volume
12-01-2015,11550.5771,21701.0859,9800.4902,12600.6299,12600.6299,31
01-01-2016,12600.6299,19250.9629,10115.5059,13650.6826,13650.6826,26
02-01-2016,12600.6299,15750.7871,8750.4375,9800.4902,9800.4902,24
03-01-2016,9450.472656,12950.64746,8750.4375,9625.481445,9625.481445,59
04-01-2016,9450.472656,10150.50781,3500.175049,4550.227539,4550.227539,46
05-01-2016,4550.227539,4900.245117,2800.139893,3500.175049,3500.175049,42
06-01-2016,3850.192627,3850.192627,1050.05249,1750.087524,1750.087524,33
07-01-2016,1400.069946,2100.10498,700.034973,700.034973,700.034973,58
08-01-2016,1050.05249,2000,300,500,500,325
09-01-2016,460,910,210,240,240,1010
10-01-2016,244,300,150,180,180,851
11-01-2016,170,300,120,140,140,1127
12-01-2016,150,165,70,100,100,8689
01-01-2017,100,110,25,30,30,14261
02-01-2017,30,40,20,30,30,3592
03-01-2017,40,40,20,30,30,1414
04-01-2017,30,140,20,80,80,8365
05-01-2017,80,117.800003,20,22.5,22.5,7208
06-01-2017,30.5,39.400002,13.5,21,21,4591
07-01-2017,20,22.5,14,16.85,16.85,3020
08-01-2017,15.1,18,6,7.4,7.4,7448
09-01-2017,7.5,8,2.55,6.75,6.75,3313
10-01-2017,5,22,5,14.5,14.5,17231
11-01-2017,14.5,20,6.15,9.25,9.25,24985
12-01-2017,9.4,15,5.3,6.55,6.55,21522
01-01-2018,6.55,8.5,4.3,4.65,4.65,25278
02-01-2018,4.5,5.5,2.5,2.65,2.65,181021
03-01-2018,2.65,11.05,1.6,9,9,425727
04-01-2018,9.5,19.75,5,7.25,7.25,522348
05-01-2018,7.5,13,5,5.5,5.5,357924
06-01-2018,5.7,7.3,3,3.15,3.15,226498
07-01-2018,3.25,4.75,2.25,2.885,2.885,292741
08-01-2018,3,4.3,1.8,2.6,2.6,390738
09-01-2018,2.6,6.1,2.35,4.45,4.45,659443
10-01-2018,4.275,8.75,3.25,4.55,4.55,1031362
11-01-2018,4.5,4.95,2.8,3.15,3.15,311540
12-01-2018,3.15,3.7,1.6,1.71,1.71,396316
01-01-2019,1.71,2.85,1.7,2.25,2.25,291603
02-01-2019,2.25,2.55,1.9,2.1,2.1,179103
03-01-2019,2.1,2.5,1.75,2.2,2.2,334108
04-01-2019,2.4,2.45,1.75,1.9,1.9,334151
05-01-2019,1.9,2,1.2,1.3,1.3,365022
06-01-2019,1.25,1.3,0.5,0.65,0.65,384348
07-01-2019,0.7,1.05,0.12,0.165,0.165,269597
08-01-2019,0.825,0.825,0.16,0.25,0.25,454498
09-01-2019,0.25,0.3999,0.21,0.21,0.21,449059
10-01-2019,0.21,0.37,0.082,0.09715,0.09715,760262
11-01-2019,0.084,0.16,0.03,0.03128,0.03128,1203724
12-01-2019,0.0317,0.045,0.016,0.0211,0.0211,3386514
01-01-2020,0.0211,0.035,0.01725,0.0228,0.0228,1447137
02-01-2020,0.0247,0.0345,0.0173,0.021,0.021,973988
03-01-2020,0.0297,0.0349,0.008,0.0084,0.0084,2376133
04-01-2020,0.0084,0.014,0.0084,0.014,0.014,1535828
05-01-2020,0.0148,0.274,0.0117,0.04,0.04,15071377
06-01-2020,0.05,0.05,0.024,0.03725,0.03725,4110144
07-01-2020,0.0305,0.044,0.0213,0.0255,0.0255,4102318
08-01-2020,0.022,0.0375,0.0173,0.019,0.019,3013188
09-01-2020,0.021,0.025,0.0135,0.0174,0.0174,2340992
10-01-2020,0.0188,0.024,0.015,0.02,0.02,2688816
11-01-2020,0.02,0.0244,0.0163,0.0168,0.0168,788778
12-01-2020,0.02,0.029,0.0165,0.0211,0.0211,5004415
01-01-2021,0.0211,0.125,0.01995,0.03845,0.03845,23153322
02-01-2021,0.0384,0.057,0.0269,0.0294,0.0294,7849261
