FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
GEPUCURRENT,"Global Economic Policy Uncertainty Index: Current Price Adjusted GDP, Index, Monthly, Not Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,GEPUCURRENT
12-01-2015,113.0744191
01-01-2016,149.3944755
02-01-2016,154.5970143
03-01-2016,165.4990121
04-01-2016,143.9375397
05-01-2016,131.6546496
06-01-2016,242.0120787
07-01-2016,234.5847745
08-01-2016,143.3017531
09-01-2016,148.137824
10-01-2016,133.4423683
11-01-2016,249.1768378
12-01-2016,220.6174552
01-01-2017,263.6500574
02-01-2017,200.2654712
03-01-2017,233.7557434
04-01-2017,179.7113718
05-01-2017,164.4272134
06-01-2017,168.9470231
07-01-2017,147.2906642
08-01-2017,140.2726075
09-01-2017,156.0712814
10-01-2017,148.5957274
11-01-2017,154.8482366
12-01-2017,148.3792087
01-01-2018,150.3457526
02-01-2018,123.5717825
03-01-2018,167.129451
04-01-2018,155.8193341
05-01-2018,174.5604227
06-01-2018,176.5350088
07-01-2018,220.892854
08-01-2018,179.02064
09-01-2018,193.7404776
10-01-2018,219.1180151
11-01-2018,243.9651909
12-01-2018,267.4789884
01-01-2019,260.2966012
02-01-2019,203.9303469
03-01-2019,248.672659
04-01-2019,190.3187085
05-01-2019,238.3127667
06-01-2019,313.5827002
07-01-2019,258.9783829
08-01-2019,314.985051
09-01-2019,271.7243829
10-01-2019,256.9476534
11-01-2019,251.2900187
12-01-2019,263.6753392
01-01-2020,226.5862458
02-01-2020,228.4514523
03-01-2020,356.3545034
04-01-2020,357.6927151
05-01-2020,429.4340489
06-01-2020,328.6330255
07-01-2020,351.3332881
08-01-2020,301.05488
09-01-2020,292.8721447
10-01-2020,308.8177529
11-01-2020,367.9652607
12-01-2020,296.5199788
01-01-2021,
02-01-2021,
